t,s_z(t),v_z(t),p_z(t),L(t)
0.4189982,2.122559E-16,0,0,0
0.4199981,2.122559E-16,0,0,0
0.4209981,2.122559E-16,0,0,0
0.4219981,2.122559E-16,0,0,0
0.4229981,2.122559E-16,0,0,0
0.4239981,2.122559E-16,0,0,0
0.4249981,2.122559E-16,0,0,0
0.4259981,2.122559E-16,0,0,0
0.426998,2.122559E-16,0,0,0
0.427998,2.122559E-16,0,0,0
0.428998,2.122559E-16,0,0,0
0.429998,2.122559E-16,0,0,0
0.430998,2.122559E-16,0,0,0
0.431998,2.122559E-16,0,0,0
0.432998,2.122559E-16,0,0,0
0.433998,2.122559E-16,0,0,0
0.4349979,2.122559E-16,0,0,0
0.4359979,2.122559E-16,0,0,0
0.4369979,2.122559E-16,0,0,0
0.4379979,2.122559E-16,0,0,0
0.4389979,2.122559E-16,0,0,0
0.4399979,2.122559E-16,0,0,0
0.4409979,2.122559E-16,0,0,0
0.4419979,2.122559E-16,0,0,0
0.4429978,2.122559E-16,0,0,0
0.4439978,2.122559E-16,0,0,0
0.4449978,2.122559E-16,0,0,0
0.4459978,2.122559E-16,0,0,0
0.4469978,2.122559E-16,0,0,0
0.4479978,2.122559E-16,0,0,0
0.4489978,2.122559E-16,0,0,0
0.4499978,2.122559E-16,0,0,0
0.4509977,2.122559E-16,0,0,0
0.4519977,2.122559E-16,0,0,0
0.4529977,2.122559E-16,0,0,0
0.4539977,2.122559E-16,0,0,0
0.4549977,2.122559E-16,0,0,0
0.4559977,2.122559E-16,0,0,0
0.4569977,2.122559E-16,0,0,0
0.4579976,2.122559E-16,0,0,0
0.4589976,2.122559E-16,0,0,0
0.4599976,2.122559E-16,0,0,0
0.4609976,2.122559E-16,0,0,0
0.4619976,2.122559E-16,0,0,0
0.4629976,2.122559E-16,0,0,0
0.4639976,2.122559E-16,0,0,0
0.4649976,2.122559E-16,0,0,0
0.4659975,2.122559E-16,0,0,0
0.4669975,2.122559E-16,0,0,0
0.4679975,2.122559E-16,0,0,0
0.4689975,2.122559E-16,0,0,0
0.4699975,2.122559E-16,0,0,0
0.4709975,2.122559E-16,0,0,0
0.4719975,2.122559E-16,0,0,0
0.4729975,2.122559E-16,0,0,0
0.4739974,2.122559E-16,0,0,0
0.4749974,2.122559E-16,0,0,0
0.4759974,2.122559E-16,0,0,0
0.4769974,2.122559E-16,0,0,0
0.4779974,2.122559E-16,0,0,0
0.4789974,2.122559E-16,0,0,0
0.4799974,2.122559E-16,0,0,0
0.4809974,2.122559E-16,0,0,0
0.4819973,2.122559E-16,0,0,0
0.4829973,2.122559E-16,0,0,0
0.4839973,2.122559E-16,0,0,0
0.4849973,2.122559E-16,0,0,0
0.4859973,2.122559E-16,0,0,0
0.4869973,2.122559E-16,0,0,0
0.4879973,2.122559E-16,0,0,0
0.4889973,2.122559E-16,0,0,0
0.4899972,2.122559E-16,0,0,0
0.4909972,2.122559E-16,0,0,0
0.4919972,2.122559E-16,0,0,0
0.4929972,2.122559E-16,0,0,0
0.4939972,2.122559E-16,0,0,0
0.4949972,2.122559E-16,0,0,0
0.4959972,2.122559E-16,0,0,0
0.4969971,2.122559E-16,0,0,0
0.4979971,2.122559E-16,0,0,0
0.4989971,2.122559E-16,0,0,0
0.4999971,2.122559E-16,0,0,0
0.5009971,2.122559E-16,0,0,0
0.5019971,2.122559E-16,0,0,0
0.5029971,2.122559E-16,0,0,0
0.5039971,2.122559E-16,0,0,0
0.5049971,2.122559E-16,0,0,0
0.5059971,2.122559E-16,0,0,0
0.506997,2.122559E-16,0,0,0
0.507997,2.122559E-16,0,0,0
0.508997,2.122559E-16,0,0,0
0.509997,2.122559E-16,0,0,0
0.510997,2.122559E-16,0,0,0
0.511997,2.122559E-16,0,0,0
0.512997,2.122559E-16,0,0,0
0.513997,2.122559E-16,0,0,0
0.5149969,2.122559E-16,0,0,0
0.5159969,2.122559E-16,0,0,0
0.5169969,2.122559E-16,0,0,0
0.5179969,2.122559E-16,0,0,0
0.5189969,2.122559E-16,0,0,0
0.5199969,2.122559E-16,0,0,0
0.5209969,2.122559E-16,0,0,0
0.5219969,2.122559E-16,0,0,0
0.5229968,2.122559E-16,0,0,0
0.5239968,2.122559E-16,0,0,0
0.5249968,2.122559E-16,0,0,0
0.5259968,2.122559E-16,0,0,0
0.5269968,2.122559E-16,0,0,0
0.5279968,2.122559E-16,0,0,0
0.5289968,2.122559E-16,0,0,0
0.5299968,2.122559E-16,0,0,0
0.5309967,2.122559E-16,0,0,0
0.5319967,2.122559E-16,0,0,0
0.5329967,2.122559E-16,0,0,0
0.5339967,2.122559E-16,0,0,0
0.5349967,2.122559E-16,0,0,0
0.5359967,2.122559E-16,0,0,0
0.5369967,2.122559E-16,0,0,0
0.5379966,2.122559E-16,0,0,0
0.5389966,2.122559E-16,0,0,0
0.5399966,2.122559E-16,0,0,0
0.5409966,2.122559E-16,0,0,0
0.5419966,2.122559E-16,0,0,0
0.5429966,2.122559E-16,0,0,0
0.5439966,2.122559E-16,0,0,0
0.5449966,2.122559E-16,0,0,0
0.5459965,2.122559E-16,0,0,0
0.5469965,2.122559E-16,0,0,0
0.5479965,2.122559E-16,0,0,0
0.5489965,2.122559E-16,0,0,0
0.5499965,2.122559E-16,0,0,0
0.5509965,2.122559E-16,0,0,0
0.5519965,2.122559E-16,0,0,0
0.5529965,2.122559E-16,0,0,0
0.5539964,2.122559E-16,0,0,0
0.5549964,2.122559E-16,0,0,0
0.5559964,2.122559E-16,0,0,0
0.5569964,2.122559E-16,0,0,0
0.5579964,2.122559E-16,0,0,0
0.5589964,2.122559E-16,0,0,0
0.5599964,2.122559E-16,0,0,0
0.5609964,2.122559E-16,0,0,0
0.5619963,2.122559E-16,0,0,0
0.5629963,2.122559E-16,0,0,0
0.5639963,2.122559E-16,0,0,0
0.5649963,2.122559E-16,0,0,0
0.5659963,2.122559E-16,0,0,0
0.5669963,2.122559E-16,0,0,0
0.5679963,2.122559E-16,0,0,0
0.5689963,2.122559E-16,0,0,0
0.5699962,2.122559E-16,0,0,0
0.5709962,2.122559E-16,0,0,0
0.5719962,2.122559E-16,0,0,0
0.5729962,2.122559E-16,0,0,0
0.5739962,2.122559E-16,0,0,0
0.5749962,2.122559E-16,0,0,0
0.5759962,2.122559E-16,0,0,0
0.5769961,2.122559E-16,0,0,0
0.5779961,2.122559E-16,0,0,0
0.5789961,2.122559E-16,0,0,0
0.5799961,2.122559E-16,0,0,0
0.5809961,2.122559E-16,0,0,0
0.5819961,2.122559E-16,0,0,0
0.5829961,2.122559E-16,0,0,0
0.5839961,2.122559E-16,0,0,0
0.584996,2.122559E-16,0,0,0
0.585996,2.122559E-16,0,0,0
0.586996,2.122559E-16,0,0,0
0.587996,2.122559E-16,0,0,0
0.588996,2.122559E-16,0,0,0
0.589996,2.122559E-16,0,0,0
0.590996,2.122559E-16,0,0,0
0.591996,2.122559E-16,0,0,0
0.5929959,2.122559E-16,0,0,0
0.5939959,2.122559E-16,0,0,0
0.5949959,2.122559E-16,0,0,0
0.5959959,2.122559E-16,0,0,0
0.5969959,2.122559E-16,0,0,0
0.5979959,2.122559E-16,0,0,0
0.5989959,2.122559E-16,0,0,0
0.5999959,2.122559E-16,0,0,0
0.6009958,2.122559E-16,0,0,0
0.6019958,2.122559E-16,0,0,0
0.6029958,2.122559E-16,0,0,0
0.6039958,2.122559E-16,0,0,0
0.6049958,2.122559E-16,0,0,0
0.6059958,2.122559E-16,0,0,0
0.6069958,2.122559E-16,0,0,0
0.6079957,2.122559E-16,0,0,0
0.6089957,2.122559E-16,0,0,0
0.6099957,2.122559E-16,0,0,0
0.6109957,2.122559E-16,0,0,0
0.6119957,2.122559E-16,0,0,0
0.6129957,2.122559E-16,0,0,0
0.6139957,2.122559E-16,0,0,0
0.6149957,2.122559E-16,0,0,0
0.6159956,2.122559E-16,0,0,0
0.6169956,2.122559E-16,0,0,0
0.6179956,2.122559E-16,0,0,0
0.6189956,2.122559E-16,0,0,0
0.6199956,2.122559E-16,0,0,0
0.6209956,2.122559E-16,0,0,0
0.6219956,2.122559E-16,0,0,0
0.6229956,2.122559E-16,0,0,0
0.6239955,2.122559E-16,0,0,0
0.6249955,2.122559E-16,0,0,0
0.6259955,2.122559E-16,0,0,0
0.6269955,2.122559E-16,0,0,0
0.6279955,2.122559E-16,0,0,0
0.6289955,2.122559E-16,0,0,0
0.6299955,2.122559E-16,0,0,0
0.6309955,2.122559E-16,0,0,0
0.6319954,2.122559E-16,0,0,0
0.6329954,2.122559E-16,0,0,0
0.6339954,2.122559E-16,0,0,0
0.6349954,2.122559E-16,0,0,0
0.6359954,2.122559E-16,0,0,0
0.6369954,2.122559E-16,0,0,0
0.6379954,2.122559E-16,0,0,0
0.6389953,2.122559E-16,0,0,0
0.6399953,2.122559E-16,0,0,0
0.6409953,2.122559E-16,0,0,0
0.6419953,2.122559E-16,0,0,0
0.6429953,2.122559E-16,0,0,0
0.6439953,2.122559E-16,0,0,0
0.6449953,2.122559E-16,0,0,0
0.6459953,2.122559E-16,0,0,0
0.6469952,2.122559E-16,0,0,0
0.6479952,2.122559E-16,0,0,0
0.6489952,2.122559E-16,0,0,0
0.6499952,2.122559E-16,0,0,0
0.6509952,2.122559E-16,0,0,0
0.6519952,2.122559E-16,0,0,0
0.6529952,2.122559E-16,0,0,0
0.6539952,2.122559E-16,0,0,0
0.6549951,2.122559E-16,0,0,0
0.6559951,2.122559E-16,0,0,0
0.6569951,2.122559E-16,0,0,0
0.6579951,2.122559E-16,0,0,0
0.6589951,2.122559E-16,0,0,0
0.6599951,2.122559E-16,0,0,0
0.6609951,2.122559E-16,0,0,0
0.6619951,2.122559E-16,0,0,0
0.662995,2.122559E-16,0,0,0
0.663995,2.122559E-16,0,0,0
0.664995,2.122559E-16,0,0,0
0.665995,2.122559E-16,0,0,0
0.666995,2.122559E-16,0,0,0
0.667995,2.122559E-16,0,0,0
0.668995,2.122559E-16,0,0,0
0.669995,2.122559E-16,0,0,0
0.6709949,2.122559E-16,0,0,0
0.6719949,2.122559E-16,0,0,0
0.6729949,2.122559E-16,0,0,0
0.6739949,2.122559E-16,0,0,0
0.6749949,2.122559E-16,0,0,0
0.6759949,2.122559E-16,0,0,0
0.6769949,2.122559E-16,0,0,0
0.6779948,2.122559E-16,0,0,0
0.6789948,2.122559E-16,0,0,0
0.6799948,2.122559E-16,0,0,0
0.6809948,2.122559E-16,0,0,0
0.6819948,2.122559E-16,0,0,0
0.6829948,2.122559E-16,0,0,0
0.6839948,2.122559E-16,0,0,0
0.6849948,2.122559E-16,0,0,0
0.6859947,2.122559E-16,0,0,0
0.6869947,2.122559E-16,0,0,0
0.6879947,2.122559E-16,0,0,0
0.6889947,2.122559E-16,0,0,0
0.6899947,2.122559E-16,0,0,0
0.6909947,2.122559E-16,0,0,0
0.6919947,2.122559E-16,0,0,0
0.6929947,2.122559E-16,0,0,0
0.6939946,2.122559E-16,0,0,0
0.6949946,2.122559E-16,0,0,0
0.6959946,2.122559E-16,0,0,0
0.6969946,2.122559E-16,0,0,0
0.6979946,2.122559E-16,0,0,0
0.6989946,2.122559E-16,0,0,0
0.6999946,2.122559E-16,0,0,0
0.7009946,2.122559E-16,0,0,0
